  -1.073275664053E-013  -5.460600536967E-012   6.526453050848E-014   5.203197749914E-012   0.000000000000E+000  -1.220278302361E-008   3.707715680305E-008   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000   1.000000000000E+000   8.581931364502E-004   2.037799572247E-007
  -1.064362244895E-013  -5.461115283543E-012   6.543326367728E-014   5.203189239961E-012   0.000000000000E+000  -1.229098582813E-008   3.695451544867E-008  -2.250916657984E-055  -7.195121435810E-051   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000  -4.444485183662E-043   2.244889714651E-043   2.000000000000E+000   8.581931420293E-004   2.039714220303E-007
  -1.063688642712E-013  -5.461168007730E-012   6.544732172075E-014   5.203198264661E-012   0.000000000000E+000  -1.229763516571E-008   3.694460649047E-008   4.314523000818E-073  -6.091732070280E-065   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000  -1.529287227905E-060   3.462288252358E-067   3.000000000000E+000   8.581931455157E-004   2.039869922234E-007
  -1.063114317359E-013  -5.461213336184E-012   6.547231109381E-014   5.203207551192E-012   0.000000000000E+000  -1.230380028834E-008   3.693638938408E-008   7.098030899653E-099   2.930630072631E-083   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000  -5.182010081394E-089   7.357144359570E-079   4.000000000000E+000   8.581931497264E-004   2.039994417575E-007
  -1.062564205666E-013  -5.461258113979E-012   6.548602582909E-014   5.203217252349E-012   0.000000000000E+000  -1.230926033314E-008   3.692838592249E-008   5.525567782061E-122   3.350910248497E-100   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000  -5.731209596079E-106   8.412228709564E-096   5.000000000000E+000   8.581931510987E-004   2.040119326176E-007
  -1.062332221663E-013  -5.461277398272E-012   6.549775887853E-014   5.203221744076E-012   0.000000000000E+000  -1.231184391029E-008   3.692503245684E-008   7.525102026868E-142   4.562829026468E-120   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000  -7.804007735955E-126   1.145466708650E-115   6.000000000000E+000   8.581931550036E-004   2.040169433314E-007
  -1.061798067149E-013  -5.461322204342E-012   6.551350147132E-014   5.203232611706E-012   0.000000000000E+000  -1.231724629811E-008   3.691730001548E-008   1.690066111982E-165   1.024332623878E-143   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000  -1.258007819365E-143   2.571642095499E-139   7.000000000000E+000   8.581931554006E-004   2.040289409010E-007
  -1.061724650466E-013  -5.461328591044E-012   6.551833524154E-014   5.203234209679E-012   0.000000000000E+000  -1.231812422266E-008   3.691621584205E-008   9.357962870400E-183   7.050904486640E-161   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000  -8.659387362092E-161   1.770167459915E-156   8.000000000000E+000   8.581931585307E-004   2.040305021460E-007
  -1.061280120994E-013  -5.461366940168E-012   6.553395868102E-014   5.203244121672E-012   0.000000000000E+000  -1.232274873854E-008   3.690976502549E-008  -1.101297893170E-204  -2.871853953513E-182   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000  -5.126996344197E-178   1.018823707567E-188   9.000000000000E+000   8.581931585637E-004   2.040404157614E-007
  -1.061274324380E-013  -5.461367450725E-012   6.553465402450E-014   5.203244264504E-012   0.000000000000E+000  -1.232283375787E-008   3.690966628424E-008   2.867925033096E-222   2.298341248731E-201   0.000000000000E+000   0.000000000000E+000   0.000000000000E+000  -1.277436232137E-195   1.335134494682E-195   1.000000000000E+001   8.581931587673E-004   2.040405261254E-007
