  -4.818858104840E-015  -2.022332835591E-014   1.984491130452E-013   3.507016552162E-011   0.000000000000E+000  -1.448774850088E-010   2.597839454666E-007   8.301612435674E-013   4.252235716318E-011  -4.597454686915E-013   0.000000000000E+000   0.000000000000E+000  -9.718630344935E-009   9.502454645371E-008   1.000000000000E+000  -7.481839503498E-008  -8.020007044252E-006  -8.385658389898E-008  -7.612896297360E-006   0.000000000000E+000  -5.295282797513E-002   3.977346932516E-005
  -4.756917126506E-015  -2.023550191342E-014   1.984263583521E-013   3.507013776605E-011   0.000000000000E+000  -1.444043218335E-010   2.597379022973E-007   8.302373003498E-013   4.252235716318E-011  -4.597118584242E-013   0.000000000000E+000   0.000000000000E+000  -9.720222848841E-009   9.502454645371E-008   2.000000000000E+000  -7.220199904623E-008  -8.961002095020E-006  -7.720590389226E-008  -8.478139534418E-006   0.000000000000E+000  -5.937884959828E-002   5.805853288621E-005
  -4.751387695426E-015  -2.023667251296E-014   1.984248811267E-013   3.507013776605E-011   0.000000000000E+000  -1.443592884121E-010   2.597341222099E-007   8.302441850336E-013   4.252235716318E-011  -4.597089852884E-013   0.000000000000E+000   0.000000000000E+000  -9.720371174637E-009   9.502454645371E-008   3.000000000000E+000  -8.313399035842E-008  -9.067306564248E-006  -9.023191438473E-008  -8.597311534686E-006   0.000000000000E+000  -6.028613737102E-002   3.946904325858E-005
  -4.747667103205E-015  -2.023766692964E-014   1.984244745509E-013   3.507013429660E-011   0.000000000000E+000  -1.443284936009E-010   2.597310810870E-007   8.302488471029E-013   4.252235716318E-011  -4.597066000436E-013   0.000000000000E+000   0.000000000000E+000  -9.720467986085E-009   9.502454645371E-008   4.000000000000E+000  -8.235493709208E-008  -9.702799616207E-006  -7.706782412242E-008  -9.196530299960E-006   0.000000000000E+000  -6.512235576822E-002   1.288899220526E-004
  -4.743374340229E-015  -2.023865457005E-014   1.984234852164E-013   3.507013082715E-011   0.000000000000E+000  -1.442993086131E-010   2.597280115424E-007   8.302541054835E-013   4.252235716318E-011  -4.597043232191E-013   0.000000000000E+000   0.000000000000E+000  -9.720578120209E-009   9.502454645371E-008   5.000000000000E+000  -8.797569250873E-008  -9.701804629003E-006  -9.631296649104E-008  -9.198843144986E-006   0.000000000000E+000  -6.522371646228E-002   3.442040178925E-005
  -4.741934807735E-015  -2.023907300433E-014   1.984233903487E-013   3.507013082715E-011   0.000000000000E+000  -1.442853336808E-010   2.597267894089E-007   8.302559486272E-013   4.252235716318E-011  -4.597032932270E-013   0.000000000000E+000   0.000000000000E+000  -9.720617200060E-009   9.502454645371E-008   6.000000000000E+000  -8.937645645801E-008  -1.020912895910E-005  -8.102534820864E-008  -9.689271792013E-006   0.000000000000E+000  -6.921971981103E-002   6.978819146752E-005
  -4.737940200356E-015  -2.024005386848E-014   1.984225636445E-013   3.507013082715E-011   0.000000000000E+000  -1.442578834165E-010   2.597238619728E-007   8.302608817470E-013   4.252235716318E-011  -4.597010706126E-013   0.000000000000E+000   0.000000000000E+000  -9.720720228756E-009   9.502454645371E-008   7.000000000000E+000  -9.207774809283E-008  -1.017464637698E-005  -9.798382194504E-008  -9.651672371547E-006   0.000000000000E+000  -6.895742570722E-002   2.921052509919E-005
  -4.737534471574E-015  -2.024019108782E-014   1.984225771971E-013   3.507013082715E-011   0.000000000000E+000  -1.442529151685E-010   2.597234640689E-007   8.302613696380E-013   4.252235716318E-011  -4.597007453519E-013   0.000000000000E+000   0.000000000000E+000  -9.720730886897E-009   9.502454645371E-008   8.000000000000E+000  -9.516690369082E-008  -1.051160961651E-005  -9.201960438077E-008  -9.986668374040E-006   0.000000000000E+000  -7.181900196444E-002   3.096379805356E-005
  -4.734337769231E-015  -2.024102456824E-014   1.984220215434E-013   3.507012735771E-011   0.000000000000E+000  -1.442288510844E-010   2.597210482236E-007   8.302653269759E-013   4.252235716318E-011  -4.596989022082E-013   0.000000000000E+000   0.000000000000E+000  -9.720814375669E-009   9.502454645371E-008   9.000000000000E+000  -9.564086411729E-008  -1.050242917700E-005  -9.727364158607E-008  -9.969398888643E-006   0.000000000000E+000  -7.162931216077E-002   2.612406387925E-005
  -4.734322522638E-015  -2.024103473264E-014   1.984220350960E-013   3.507012735771E-011   0.000000000000E+000  -1.442289343512E-010   2.597210198019E-007   8.302653811861E-013   4.252235716318E-011  -4.596988479981E-013   0.000000000000E+000   0.000000000000E+000  -9.720814375669E-009   9.502454645371E-008   1.000000000000E+001  -9.596553951496E-008  -1.052226070897E-005  -9.669072653651E-008  -9.985050382966E-006   0.000000000000E+000  -7.177281226919E-002   2.491933992133E-005
